House,Deaths,Proximity,Longitude,Latitude
464,0,178.67,-0.138846274,51.51417233
465,0,182.08,-0.138930791,51.51414267
466,0,202.39,-0.139010853,51.51440364
467,0,211.31,-0.139228817,51.51434433
468,0,186.02,-0.139019756,51.5141145
469,0,214.53,-0.139307402,51.51431912
470,0,190.21,-0.13910872,51.51408781
471,0,219.01,-0.139400815,51.51429836
472,0,225.44,-0.139523882,51.5142776
473,0,195.08,-0.139205099,51.51406261
474,0,197.53,-0.139251064,51.51405223
475,0,194.47,-0.13927479,51.51394102
476,0,194.45,-0.139298514,51.51389802
477,0,193.57,-0.13930148,51.51386688
478,0,192.16,-0.13930593,51.5138135
479,0,192.39,-0.139326689,51.51377347
480,0,190.54,-0.139317793,51.51372602
481,0,187.88,-0.139289622,51.51369488
482,0,213.18,-0.139618787,51.51381499
483,0,215.01,-0.139633614,51.51384464
484,0,216.72,-0.139633612,51.51390099
485,0,224.19,-0.13969292,51.51400478
486,0,177.06,-0.139077588,51.51381647
487,0,183.74,-0.139206588,51.51375271
488,0,167.63,-0.138991592,51.51369192
489,0,171.42,-0.139056833,51.51366671
490,0,174.77,-0.139116143,51.51363557
491,0,252.39,-0.140250436,51.51362371
492,0,247.59,-0.140176299,51.51364447
493,0,246.83,-0.140148125,51.51371416
494,0,240.62,-0.140060644,51.5137023
495,0,235.78,-0.139986507,51.51371416
496,0,232.41,-0.139930163,51.51373788
497,0,227.07,-0.139835267,51.51378681
498,0,220.49,-0.139781891,51.51364447
499,0,223.89,-0.13983527,51.51362816
500,0,229.45,-0.139921269,51.51360444
501,0,233.65,-0.13998651,51.51358219
502,0,239.82,-0.140081406,51.51354957
503,0,243.49,-0.14013775,51.51352733
504,0,239.06,-0.140084374,51.51341613
505,0,233,-0.139995409,51.51343985
506,0,224.48,-0.13986641,51.51350064
507,0,221.02,-0.139814514,51.51351547
508,0,217.65,-0.139762618,51.51353623
509,0,214.1,-0.139706273,51.5135644
510,0,210.17,-0.139646964,51.51357626
511,0,209.48,-0.139657346,51.51342651
512,0,211.94,-0.139694415,51.51339833
513,0,214.58,-0.139732966,51.51338499
514,0,218.55,-0.139790793,51.51336275
515,0,223.38,-0.139860482,51.51334347
516,0,227.43,-0.13991831,51.51330789
517,0,208.49,-0.139601659,51.51366336
518,0,204.2,-0.13955237,51.51361199
519,0,195.45,-0.13944344,51.51352178
520,0,191.63,-0.13939559,51.51346958
521,0,188.29,-0.13935064,51.51343912
522,0,180.44,-0.139241891,51.51334487
523,0,191.01,-0.139394143,51.51332892
524,0,198.14,-0.139495646,51.51328832
525,0,192.47,-0.139407196,51.51321147
526,0,187.52,-0.139339044,51.51324192
527,0,176.35,-0.139180991,51.51327962
528,0,174.93,-0.139157792,51.51324627
529,0,178.05,-0.139180985,51.51357253
530,0,172.7,-0.139117186,51.51350293
531,0,170.17,-0.139085286,51.51347103
